ROW_ID,ACCNTNUM,RISKNUM,BLDGSCHEME,BLDGCODE,OCCSCHEME,OCCCODE,YEARBUILT,NUMSTORIES,NUMRISKS,POSTALCODE,COUNTYCODE,STATECODE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,COV1TIV,COV2TIV,COV3TIV,COV4TIV,COV1DED,COV2DED,COV3DED,COV4DED,COV1LIM,COV2LIM,COV3LIM,COV4LIM,COMBDED,COMBLIM,SITEDED,SITELIM,SUBLIMGROUP,SUBLIMDED,SUBLIMLIM
1,PiClient,10002082046,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76698052,-0.895469856,0,0,0,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PiClient,10002082047,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76697956,-0.89536613,0,0,0,790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PiClient,10002082048,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76697845,-0.895247587,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PiClient,10002082049,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76696096,-0.895473908,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PiClient,10002082050,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76695804,-0.895353484,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PiClient,10002082051,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76695885,-0.89524749,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PiClient,10002082052,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.7670776,-0.895274721,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PiClient,10002082053,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76712254,-0.895273583,0,0,0,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PiClient,10002082054,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76718545,-0.895271991,0,0,0,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PiClient,10002082055,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76724836,-0.895270399,0,0,0,430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PiClient,10002082056,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.7670776,-0.895274721,0,0,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PiClient,10002082057,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76712254,-0.895273583,0,0,0,550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PiClient,10002082058,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76718545,-0.895271991,0,0,0,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PiClient,10002082059,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76724836,-0.895270399,0,0,0,290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PiClient,10002082060,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76707645,-0.895238733,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PiClient,10002082061,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76712465,-0.89524033,0,0,0,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PiClient,10002082062,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76718704,-0.895230006,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PiClient,10002082063,0,0,PiWind,R,0,1,1,LE13 0HL,0,1,52.76724759,-0.89522551,0,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PiClient,10002082081,0,0,PiWind,R,0,1,1,LE13 0FG,0,1,52.75183272,-0.900342288,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PiClient,10002082082,0,0,PiWind,R,0,1,1,LE13 0FG,0,1,52.75155122,-0.900038235,0,0,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PiClient,10002082083,0,0,PiWind,R,0,1,1,LE13 0FG,0,1,52.75132597,-0.899984643,0,0,0,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PiClient,10002082084,0,0,PiWind,R,0,1,1,LE13 0FP,0,1,52.75170379,-0.899041703,0,0,0,370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PiClient,10002082085,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75324109,-0.897106404,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,PiClient,10002082086,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75342773,-0.897842534,0,0,0,670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PiClient,10002082087,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75290371,-0.89659634,0,0,0,590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,PiClient,10002082088,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75281315,-0.896524545,0,0,0,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,PiClient,10002082089,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75320152,-0.897685258,0,0,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,PiClient,10002082090,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75276807,-0.896510867,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PiClient,10002082091,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75266879,-0.896468925,0,0,0,510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PiClient,10002082092,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.7526327,-0.896455021,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,PiClient,10002082093,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75253342,-0.896413079,0,0,0,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,PiClient,10002082094,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75249747,-0.896413988,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,PiClient,10002082095,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75279197,-0.897147378,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,PiClient,10002082096,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75239805,-0.896357234,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PiClient,10002082097,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75236196,-0.896343329,0,0,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PiClient,10002082098,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75268315,-0.89704641,0,0,0,720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,PiClient,10002082099,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75227181,-0.896315974,0,0,0,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,PiClient,10002082100,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75207449,-0.896365409,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,PiClient,10002082101,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75209095,-0.896202013,0,0,0,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,PiClient,10002082102,0,0,PiWind,R,0,1,1,LE13 0FW,0,1,52.75209938,-0.896142534,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,PiClient,10002082103,0,0,PiWind,R,0,1,1,LE13 1GZ,0,2,52.77951335,-0.887858386,0,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,PiClient,10002082104,0,0,PiWind,R,0,1,1,LE13 1GZ,0,2,52.77945804,-0.887711539,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,PiClient,10002082105,0,0,PiWind,R,0,1,1,LE13 1GZ,0,2,52.77905535,-0.886950874,0,0,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,PiClient,10002082106,0,0,PiWind,R,0,1,1,LE13 1GZ,0,2,52.77959563,-0.888004546,0,0,0,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
