ACCNTNUM,RISKNUM,BLDGSCHEME,BLDGCODE,OCCSCHEME,OCCCODE,YEARBUILT,NUMSTORIES,NUMRISKS,POSTALCODE,COUNTYCODE,STATECODE,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,COV1TIV,COV2TIV,COV3TIV,COV4TIV,COV1DED,COV2DED,COV3DED,COV4DED,COV1LIM,COV2LIM,COV3LIM,COV4LIM,COMBDED,COMBLIM,SITEDED,SITELIM,SUBLIMGROUP,SUBLIMDED,SUBLIMLIM
PiClient,10002082046,,,PiWind,R,,,,LE13 0HL,,1,52.76698052,-0.895469856,,,,220000,,,,,,,,,,,,,,,,,,
PiClient,10002082047,,,PiWind,R,,,,LE13 0HL,,1,52.76697956,-0.89536613,,,,790000,,,,,,,,,,,,,,,,,,
PiClient,10002082048,,,PiWind,R,,,,LE13 0HL,,1,52.76697845,-0.895247587,,,,160000,,,,,,,,,,,,,,,,,,
PiClient,10002082049,,,PiWind,R,,,,LE13 0HL,,1,52.76696096,-0.895473908,,,,30000,,,,,,,,,,,,,,,,,,
PiClient,10002082050,,,PiWind,R,,,,LE13 0HL,,1,52.76695804,-0.895353484,,,,250000,,,,,,,,,,,,,,,,,,
PiClient,10002082051,,,PiWind,R,,,,LE13 0HL,,1,52.76695885,-0.89524749,,,,700000,,,,,,,,,,,,,,,,,,
PiClient,10002082052,,,PiWind,R,,,,LE13 0HL,,1,52.7670776,-0.895274721,,,,90000,,,,,,,,,,,,,,,,,,
PiClient,10002082053,,,PiWind,R,,,,LE13 0HL,,1,52.76712254,-0.895273583,,,,310000,,,,,,,,,,,,,,,,,,
PiClient,10002082054,,,PiWind,R,,,,LE13 0HL,,1,52.76718545,-0.895271991,,,,420000,,,,,,,,,,,,,,,,,,
PiClient,10002082055,,,PiWind,R,,,,LE13 0HL,,1,52.76724836,-0.895270399,,,,430000,,,,,,,,,,,,,,,,,,
PiClient,10002082056,,,PiWind,R,,,,LE13 0HL,,1,52.7670776,-0.895274721,,,,230000,,,,,,,,,,,,,,,,,,
PiClient,10002082057,,,PiWind,R,,,,LE13 0HL,,1,52.76712254,-0.895273583,,,,550000,,,,,,,,,,,,,,,,,,
PiClient,10002082058,,,PiWind,R,,,,LE13 0HL,,1,52.76718545,-0.895271991,,,,390000,,,,,,,,,,,,,,,,,,
PiClient,10002082059,,,PiWind,R,,,,LE13 0HL,,1,52.76724836,-0.895270399,,,,290000,,,,,,,,,,,,,,,,,,
PiClient,10002082060,,,PiWind,R,,,,LE13 0HL,,1,52.76707645,-0.895238733,,,,300000,,,,,,,,,,,,,,,,,,
PiClient,10002082061,,,PiWind,R,,,,LE13 0HL,,1,52.76712465,-0.89524033,,,,410000,,,,,,,,,,,,,,,,,,
PiClient,10002082062,,,PiWind,R,,,,LE13 0HL,,1,52.76718704,-0.895230006,,,,350000,,,,,,,,,,,,,,,,,,
PiClient,10002082063,,,PiWind,R,,,,LE13 0HL,,1,52.76724759,-0.89522551,,,,470000,,,,,,,,,,,,,,,,,,
PiClient,10002082081,,,PiWind,R,,,,LE13 0FG,,1,52.75183272,-0.900342288,,,,800000,,,,,,,,,,,,,,,,,,
PiClient,10002082082,,,PiWind,R,,,,LE13 0FG,,1,52.75155122,-0.900038235,,,,240000,,,,,,,,,,,,,,,,,,
PiClient,10002082083,,,PiWind,R,,,,LE13 0FG,,1,52.75132597,-0.899984643,,,,410000,,,,,,,,,,,,,,,,,,
PiClient,10002082084,,,PiWind,R,,,,LE13 0FP,,1,52.75170379,-0.899041703,,,,370000,,,,,,,,,,,,,,,,,,
PiClient,10002082085,,,PiWind,R,,,,LE13 0FW,,1,52.75324109,-0.897106404,,,,560000,,,,,,,,,,,,,,,,,,
PiClient,10002082086,,,PiWind,R,,,,LE13 0FW,,1,52.75342773,-0.897842534,,,,670000,,,,,,,,,,,,,,,,,,
PiClient,10002082087,,,PiWind,R,,,,LE13 0FW,,1,52.75290371,-0.89659634,,,,590000,,,,,,,,,,,,,,,,,,
PiClient,10002082088,,,PiWind,R,,,,LE13 0FW,,1,52.75281315,-0.896524545,,,,380000,,,,,,,,,,,,,,,,,,
PiClient,10002082089,,,PiWind,R,,,,LE13 0FW,,1,52.75320152,-0.897685258,,,,230000,,,,,,,,,,,,,,,,,,
PiClient,10002082090,,,PiWind,R,,,,LE13 0FW,,1,52.75276807,-0.896510867,,,,170000,,,,,,,,,,,,,,,,,,
PiClient,10002082091,,,PiWind,R,,,,LE13 0FW,,1,52.75266879,-0.896468925,,,,510000,,,,,,,,,,,,,,,,,,
PiClient,10002082092,,,PiWind,R,,,,LE13 0FW,,1,52.7526327,-0.896455021,,,,490000,,,,,,,,,,,,,,,,,,
PiClient,10002082093,,,PiWind,R,,,,LE13 0FW,,1,52.75253342,-0.896413079,,,,410000,,,,,,,,,,,,,,,,,,
PiClient,10002082094,,,PiWind,R,,,,LE13 0FW,,1,52.75249747,-0.896413988,,,,500000,,,,,,,,,,,,,,,,,,
PiClient,10002082095,,,PiWind,R,,,,LE13 0FW,,1,52.75279197,-0.897147378,,,,350000,,,,,,,,,,,,,,,,,,
PiClient,10002082096,,,PiWind,R,,,,LE13 0FW,,1,52.75239805,-0.896357234,,,,800000,,,,,,,,,,,,,,,,,,
PiClient,10002082097,,,PiWind,R,,,,LE13 0FW,,1,52.75236196,-0.896343329,,,,140000,,,,,,,,,,,,,,,,,,
PiClient,10002082098,,,PiWind,R,,,,LE13 0FW,,1,52.75268315,-0.89704641,,,,720000,,,,,,,,,,,,,,,,,,
PiClient,10002082099,,,PiWind,R,,,,LE13 0FW,,1,52.75227181,-0.896315974,,,,260000,,,,,,,,,,,,,,,,,,
PiClient,10002082100,,,PiWind,R,,,,LE13 0FW,,1,52.75207449,-0.896365409,,,,30000,,,,,,,,,,,,,,,,,,
PiClient,10002082101,,,PiWind,R,,,,LE13 0FW,,1,52.75209095,-0.896202013,,,,230000,,,,,,,,,,,,,,,,,,
PiClient,10002082102,,,PiWind,R,,,,LE13 0FW,,1,52.75209938,-0.896142534,,,,560000,,,,,,,,,,,,,,,,,,
PiClient,10002082103,,,PiWind,R,,,,LE13 1GZ,,2,52.77951335,-0.887858386,,,,130000,,,,,,,,,,,,,,,,,,
PiClient,10002082104,,,PiWind,R,,,,LE13 1GZ,,2,52.77945804,-0.887711539,,,,40000,,,,,,,,,,,,,,,,,,
PiClient,10002082105,,,PiWind,R,,,,LE13 1GZ,,2,52.77905535,-0.886950874,,,,240000,,,,,,,,,,,,,,,,,,
PiClient,10002082106,,,PiWind,R,,,,LE13 1GZ,,2,52.77959563,-0.888004546,,,,260000,,,,,,,,,,,,,,,,,,
PiClient,10002082107,,,PiWind,R,,,,LE13 1GZ,,2,52.7796421,-0.888166445,,,,460000,,,,,,,,,,,,,,,,,,
PiClient,10002082108,,,PiWind,R,,,,LE13 1GZ,,2,52.77925483,-0.889051026,,,,510000,,,,,,,,,,,,,,,,,,
PiClient,10002082109,,,PiWind,R,,,,LE13 1GZ,,2,52.77965234,-0.888299616,,,,380000,,,,,,,,,,,,,,,,,,
PiClient,10002082110,,,PiWind,R,,,,LE13 1GZ,,2,52.77923824,-0.889199704,,,,560000,,,,,,,,,,,,,,,,,,
PiClient,10002082111,,,PiWind,R,,,,LE13 1GZ,,2,52.77965386,-0.888462661,,,,450000,,,,,,,,,,,,,,,,,,
PiClient,10002082112,,,PiWind,R,,,,LE13 1GZ,,2,52.77925774,-0.88936229,,,,190000,,,,,,,,,,,,,,,,,,
PiClient,10002082113,,,PiWind,R,,,,LE13 1GZ,,2,52.77964626,-0.888611112,,,,510000,,,,,,,,,,,,,,,,,,
PiClient,10002082114,,,PiWind,R,,,,LE13 1GZ,,2,52.7792594,-0.889540155,,,,270000,,,,,,,,,,,,,,,,,,
PiClient,10002082115,,,PiWind,R,,,,LE13 1GZ,,2,52.77962083,-0.888774843,,,,440000,,,,,,,,,,,,,,,,,,
PiClient,10002082116,,,PiWind,R,,,,LE13 1GZ,,2,52.77924309,-0.889718477,,,,30000,,,,,,,,,,,,,,,,,,
PiClient,10002082117,,,PiWind,R,,,,LE13 1GZ,,2,52.77949819,-0.889118958,,,,230000,,,,,,,,,,,,,,,,,,
PiClient,10002082118,,,PiWind,R,,,,LE13 1GZ,,2,52.77920051,-0.889971596,,,,610000,,,,,,,,,,,,,,,,,,
PiClient,10002082119,,,PiWind,R,,,,LE13 1GZ,,2,52.77958793,-0.889101848,,,,350000,,,,,,,,,,,,,,,,,,
PiClient,10002082120,,,PiWind,R,,,,LE13 1GZ,,2,52.77967767,-0.889084737,,,,270000,,,,,,,,,,,,,,,,,,
PiClient,10002082121,,,PiWind,R,,,,LE13 1GZ,,2,52.77976741,-0.889067627,,,,800000,,,,,,,,,,,,,,,,,,
PiClient,10002082122,,,PiWind,R,,,,LE13 1GZ,,2,52.77968999,-0.889440242,,,,300000,,,,,,,,,,,,,,,,,,
PiClient,10002082123,,,PiWind,R,,,,LE13 1GZ,,2,52.77969151,-0.889603287,,,,90000,,,,,,,,,,,,,,,,,,
PiClient,10002082124,,,PiWind,R,,,,LE13 1GZ,,2,52.77968419,-0.889781383,,,,720000,,,,,,,,,,,,,,,,,,
PiClient,10002082135,,,PiWind,R,,,,LE13 0DZ,,1,52.76313016,-0.892292013,,,,410000,,,,,,,,,,,,,,,,,,
PiClient,10002082149,,,PiWind,R,,,,LE13 1AP,,2,52.75104937,-0.87527843,,,,600000,,,,,,,,,,,,,,,,,,
PiClient,10002082150,,,PiWind,R,,,,LE13 1AP,,2,52.75122267,-0.875540658,,,,500000,,,,,,,,,,,,,,,,,,
PiClient,10002082151,,,PiWind,R,,,,LE13 1AP,,2,52.75080909,-0.875536489,,,,130000,,,,,,,,,,,,,,,,,,
PiClient,10002082152,,,PiWind,R,,,,LE13 1AP,,2,52.75102704,-0.875767935,,,,320000,,,,,,,,,,,,,,,,,,
PiClient,10002082153,,,PiWind,R,,,,LE13 1AP,,2,52.75057119,-0.876046354,,,,160000,,,,,,,,,,,,,,,,,,
PiClient,10002082154,,,PiWind,R,,,,LE13 1AP,,2,52.75095654,-0.87591791,,,,480000,,,,,,,,,,,,,,,,,,
PiClient,10002082155,,,PiWind,R,,,,LE13 1AP,,2,52.75068873,-0.876117409,,,,510000,,,,,,,,,,,,,,,,,,
PiClient,10002082156,,,PiWind,R,,,,LE13 1AP,,2,52.75086835,-0.876097972,,,,330000,,,,,,,,,,,,,,,,,,
PiClient,10002082157,,,PiWind,R,,,,LE13 0FQ,,1,52.75256074,-0.900323959,,,,630000,,,,,,,,,,,,,,,,,,
PiClient,10002082158,,,PiWind,R,,,,LE13 0FQ,,1,52.75263724,-0.899847903,,,,350000,,,,,,,,,,,,,,,,,,
PiClient,10002082159,,,PiWind,R,,,,LE13 0FQ,,1,52.7526509,-0.900351322,,,,380000,,,,,,,,,,,,,,,,,,
PiClient,10002082160,,,PiWind,R,,,,LE13 0FQ,,1,52.75269213,-0.899950236,,,,520000,,,,,,,,,,,,,,,,,,
PiClient,10002082161,,,PiWind,R,,,,LE13 0FQ,,1,52.75270496,-0.900364778,,,,460000,,,,,,,,,,,,,,,,,,
PiClient,10002082162,,,PiWind,R,,,,LE13 0FQ,,1,52.75287312,-0.900079028,,,,380000,,,,,,,,,,,,,,,,,,
PiClient,10002082163,,,PiWind,R,,,,LE13 0FQ,,1,52.75277741,-0.90042222,,,,190000,,,,,,,,,,,,,,,,,,
PiClient,10002082164,,,PiWind,R,,,,LE13 0FQ,,1,52.75311566,-0.900058103,,,,610000,,,,,,,,,,,,,,,,,,
PiClient,10002082165,,,PiWind,R,,,,LE13 0FQ,,1,52.75289535,-0.900537784,,,,350000,,,,,,,,,,,,,,,,,,
PiClient,10002082166,,,PiWind,R,,,,LE13 0FQ,,1,52.75312643,-0.900250449,,,,30000,,,,,,,,,,,,,,,,,,
PiClient,10002082167,,,PiWind,R,,,,LE13 0FQ,,1,52.7531383,-0.900561302,,,,400000,,,,,,,,,,,,,,,,,,
PiClient,10002082168,,,PiWind,R,,,,LE13 0FQ,,1,52.75311895,-0.900413622,,,,270000,,,,,,,,,,,,,,,,,,
PiClient,10002082179,,,PiWind,R,,,,LE13 0FS,,1,52.75286777,-0.899501313,,,,180000,,,,,,,,,,,,,,,,,,
PiClient,10002082180,,,PiWind,R,,,,LE13 0FS,,1,52.75293192,-0.899633047,,,,620000,,,,,,,,,,,,,,,,,,
